Title_Barang,Harga_Barang,Gambar_Barang,Halaman,Harga_Numerik,Tanggal_Scraping
PANFILA UPRIGHT REF PRFU4150VB,Rp 10.396.900,/images/logo-color.png,1,10396900,2026-04-16
AQUA 4D REF AQRCTD506RGG(BK),Rp 9.877.055,https://loginmegastore.com/uploads/category/202512/category-fdwkki8f2y5y8xr8xgru5k69.jpg?w=100&h=100&fit=cover,1,9877055,2026-04-16
AQUA 2D REF AQR415IMBK,Rp 8.817.900,https://loginmegastore.com/uploads/category/202512/category-rvcn7vof9bov9cz3w6hfh2py.jpg?w=100&h=100&fit=cover,1,8817900,2026-04-16
SHARP 2D REF SJ236MNHS,Rp 8.187.005,https://loginmegastore.com/uploads/category/202512/category-o2fn7sk5ssatbhqdp2ckiuid.jpg?w=100&h=100&fit=cover,1,8187005,2026-04-16
SHARP 1D REF SJN162NHS,Rp 5.828.500,https://loginmegastore.com/uploads/product/0134-0510-0165_thumb.png?w=400&h=400&fit=contain,1,5828500,2026-04-16
SAMSUNG 2D REF RT19M300BGS,Rp 5.442.075,https://loginmegastore.com/uploads/product/0317-0177-0303_thumb.png?w=400&h=400&fit=contain,1,5442075,2026-04-16
SHARP 2D REF SJ316MNHS,Rp 3.049.500,https://loginmegastore.com/uploads/product/0317-0175-0279_thumb.jpg?w=400&h=400&fit=contain,1,3049500,2026-04-16
HISENSE 1D REF RR198D4IBN,Rp 2.897.025,https://loginmegastore.com/uploads/product/0153-0175-1121_thumb.jpeg?w=400&h=400&fit=contain,1,2897025,2026-04-16
TCL 4D REF P500CD,Rp 1.870.600,https://loginmegastore.com/uploads/product/AA004225_thumb.jpeg?w=400&h=400&fit=contain,1,1870600,2026-04-16
SAMSUNG 2D REF RT25FARBDSA,Rp 1.777.070,https://loginmegastore.com/uploads/product/AA002214_thumb1.jpg?w=400&h=400&fit=contain,1,1777070,2026-04-16
SHARP 1D REF SJX197WDW,Rp 3.923.200,https://loginmegastore.com/uploads/product/0153-0175-1122_thumb.png?w=400&h=400&fit=contain,1,3923200,2026-04-16
AQUA 1D REF AQRD185MDS,Rp 3.727.040,https://loginmegastore.com/uploads/product/0535-0174-0080_thumb.png?w=400&h=400&fit=contain,1,3727040,2026-04-16
AQUA 1D REF AQRD225MDS,Rp 3.575.800,https://loginmegastore.com/uploads/product/0162-0180-0241_thumb.png?w=400&h=400&fit=contain,1,3575800,2026-04-16
SHARP 2D REF SJ246XGMR,Rp 3.397.010,https://loginmegastore.com/uploads/product/AA002220_thumb1.jpg?w=400&h=400&fit=contain,1,3397010,2026-04-16
SAMSUNG 2D REF RT22FARBDSA,Rp 1.837.900,https://loginmegastore.com/uploads/product/0153-0174-1120_thumb.jpeg?w=400&h=400&fit=contain,1,1837900,2026-04-16
TOSHIBA 2D REF GRB25ISP,Rp 1.746.005,https://loginmegastore.com/uploads/product/0317-0174-0253_thumb.png?w=400&h=400&fit=contain,1,1746005,2026-04-16
SAMSUNG 2D REF RT38CG6420B1SE,Rp 8.209.500,/images/logo-color.png,2,8209500,2026-04-16
HITACHI 2D REF RWB640PGD1GCK,Rp 7.799.025,https://loginmegastore.com/uploads/category/202512/category-fdwkki8f2y5y8xr8xgru5k69.jpg?w=100&h=100&fit=cover,2,7799025,2026-04-16
PANFILA 4D REF PRFM5511GB,Rp 18.502.200,https://loginmegastore.com/uploads/category/202512/category-rvcn7vof9bov9cz3w6hfh2py.jpg?w=100&h=100&fit=cover,2,18502200,2026-04-16
MODENA 2D REF RF2650TGDS,Rp 17.577.090,https://loginmegastore.com/uploads/category/202512/category-o2fn7sk5ssatbhqdp2ckiuid.jpg?w=100&h=100&fit=cover,2,17577090,2026-04-16
HISENSE 2D REF RT469N4IWPBU,Rp 13.028.500,https://loginmegastore.com/uploads/product/0144-0175-1981_thumb.png?w=400&h=400&fit=contain,2,13028500,2026-04-16
AQUA 4D REF AQRTTD546RBG(WT),Rp 12.377.075,https://loginmegastore.com/uploads/product/AA004106_thumb.jpg?w=400&h=400&fit=contain,2,12377075,2026-04-16
SHARP 4D REF SJIF51PGCG,Rp 4.417.900,https://loginmegastore.com/uploads/product/0134-0177-0163_thumb.png?w=400&h=400&fit=contain,2,4417900,2026-04-16
AQUA 4D REF AQRCTD746RAG(BK)U1,Rp 4.197.005,https://loginmegastore.com/uploads/product/0121-0175-0489_thumb.png?w=400&h=400&fit=contain,2,4197005,2026-04-16
SHARP 1D REF SJX197MGDP,Rp 5.239.000,https://loginmegastore.com/uploads/product/0535-0175-0078_thumb.png?w=400&h=400&fit=contain,2,5239000,2026-04-16
PANFILA 4D REF PRFM4311GB,Rp 4.977.050,https://loginmegastore.com/uploads/product/0317-0177-0341_thumb.png?w=400&h=400&fit=contain,2,4977050,2026-04-16
SAMSUNG 2D REF RT22FARBDB1/SE,Rp 10.186.400,https://loginmegastore.com/uploads/product/AA003913_thumb.png?w=400&h=400&fit=contain,2,10186400,2026-04-16
LG 2D REF GNB332PGFB,Rp 9.487.080,https://loginmegastore.com/uploads/product/0317-0177-0300_thumb.png?w=400&h=400&fit=contain,2,9487080,2026-04-16
SHARP 1D REF SJX197MGDB,Rp 10.396.900,https://loginmegastore.com/uploads/product/AA003801_thumb1.jpg?w=400&h=400&fit=contain,2,10396900,2026-04-16
HITACHI 4D REF RWB64VGD0XMIR,Rp 9.699.000,https://loginmegastore.com/uploads/product/0134-0177-0162_thumb.png?w=400&h=400&fit=contain,2,9699000,2026-04-16
AQUA 2D REF AQRDTM285RAV(MX),Rp 17.607.400,https://loginmegastore.com/uploads/product/AA004108_thumb.png?w=400&h=400&fit=contain,2,17607400,2026-04-16
LG SIDE BY SIDE 2D GCFB507PQAM,Rp 16.252.030,https://loginmegastore.com/uploads/product/0103-0175-1445_thumb.png?w=400&h=400&fit=contain,2,16252030,2026-04-16
HITACHI 2D REF RB33PGD8BSL,Rp 7.817.900,/images/logo-color.png,3,7817900,2026-04-16
SHARP 2D REF SJ317MGDB,Rp 7.427.005,https://loginmegastore.com/uploads/category/202512/category-fdwkki8f2y5y8xr8xgru5k69.jpg?w=100&h=100&fit=cover,3,7427005,2026-04-16
